All Transactions Announced Date,Target/Issuer,Transaction Types,Transaction Status,Buyers/Investors,Sellers/Sponsor,CIQ Transaction ID,First Trade Date [1/1/2015-12/7/2020] [Primary Listing] [Target/Issuer],Company Status [Target/Issuer]
07/27/2020,"dMY Technology Group, Inc. (NYSE:DMYT)",Merger/Acquisition,Announced,"Rush Street Interactive, LP",-,IQTR678983208,"NYSE:DMYT
Company: dMY Technology Group, Inc.
(IQT662797999) - 4/23/2020",Operating
10/27/2020,"dMY Technology Group, Inc. II (NYSE:DMYD)",Merger/Acquisition,Announced,Genius Sports Group Limited,-,IQTR693163053,"NYSE:DMYD
Company: dMY Technology Group, Inc. II
(IQT684070193) - 10/5/2020",Operating
07/31/2015,Dominion General Investment Corporation,Merger/Acquisition,Closed,Hampton Financial Corporation (TSXV:HFC),-,IQTR308194363,"TSXV:DGA.P
Company: Dominion General Investment Corporation
(IQT280161593) - 4/1/2015",Acquired
12/08/2017,"Dongbu 3rd Special Purpose Acquisition Co., Ltd.",Merger/Acquisition,Closed,"Hansongneotech Co.,Ltd. (KOSDAQ:A226440)","KB Securities Co., Ltd.; NH Investment & Securities Co., Ltd. (KOSE:A005940); Rhinos Asset Management Co., Ltd; CY Investment Co. Ltd.; HAN & Partners Asset Management",IQTR546915763,"KOSDAQ:A226440
Company: Dongbu 3rd Special Purpose Acquisition Co., Ltd.
(IQT309921554) - 10/6/2015",Acquired
06/09/2017,"Dongbu 3rd Special Purpose Acquisition Co., Ltd.",Merger/Acquisition,Closed,HAN & Partners Asset Management,-,IQTR433667825,"KOSDAQ:A226440
Company: Dongbu 3rd Special Purpose Acquisition Co., Ltd.
(IQT309921554) - 10/6/2015",Acquired
01/25/2016,"Dongbu 3rd Special Purpose Acquisition Co., Ltd.",Merger/Acquisition,Closed,"NH Investment & Securities Co., Ltd. (KOSE:A005940)",-,IQTR323342219,"KOSDAQ:A226440
Company: Dongbu 3rd Special Purpose Acquisition Co., Ltd.
(IQT309921554) - 10/6/2015",Acquired
10/14/2015,"Dongbu 3rd Special Purpose Acquisition Co., Ltd.",Merger/Acquisition,Closed,CY Investment Co. Ltd.,-,IQTR314023741,"KOSDAQ:A226440
Company: Dongbu 3rd Special Purpose Acquisition Co., Ltd.
(IQT309921554) - 10/6/2015",Acquired
05/15/2017,"Dongbu 4th Special Purpose Acquisition Co., Ltd.",Merger/Acquisition,Closed,"EBEST Investment & Securities Co., Ltd. (KOSDAQ:A078020)",-,IQTR430934875,"KOSDAQ:A230490
Company: Dongbu 4th Special Purpose Acquisition Co., Ltd.
(IQT316724063) - 12/18/2015",Operating
12/28/2015,"Dongbu 4th Special Purpose Acquisition Co., Ltd.",Merger/Acquisition,Closed,"KTB Asset Management Co., Ltd",-,IQTR320616989,"KOSDAQ:A230490
Company: Dongbu 4th Special Purpose Acquisition Co., Ltd.
(IQT316724063) - 12/18/2015",Operating
12/22/2015,"Dongbu 4th Special Purpose Acquisition Co., Ltd.",Merger/Acquisition,Closed,Opus Private Equity Co. Ltd.,-,IQTR320153394,"KOSDAQ:A230490
Company: Dongbu 4th Special Purpose Acquisition Co., Ltd.
(IQT316724063) - 12/18/2015",Operating
08/21/2017,Double Eagle Acquisition Corp.,Merger/Acquisition,Closed,WillScot Mobile Mini Holdings Corp. (NasdaqCM:WSC),"Fir Tree Partners; Moore Capital Management, LP; TD Asset Management, Inc.; Highbridge Capital Management, LLC; Glazer Capital, LLC; Davidson Kempner Capital Management LP; Chesapeake Partners Management Co., Inc.; BlueMountain Capital Management LLC; Polar Asset Management Partners Inc.; Venor Capital Management LP; Alyeska Investment Group, L.P.; Capstone Investment Advisors, LLC; Arrowgrass Capital Partners LLP; Periscope Capital Inc; Governors Lane LP; Double Eagle Acquisition LLC; Rubric Capital Management LP",IQTR535028947,"NasdaqCM:WSC
Company: Double Eagle Acquisition Corp.
(IQT314473591) - 11/5/2015",Acquired
09/04/2018,"Draper Oakwood Technology Acquisition, Inc.",Merger/Acquisition,Closed,Reebonz Holding Limited (OTCPK:RBZH.F),"Basso Capital Management, L.P.; Polar Asset Management Partners Inc.; HGC Investment Management Inc.; Draper Oakwood Investments, LLC",IQTR579976149,"NasdaqCM:RBZ
Company: Draper Oakwood Technology Acquisition, Inc.
(IQT528985716) - 10/12/2017",Acquired
09/26/2019,Drummond Ventures Corp. (TSXV:DVX.P),Merger/Acquisition,Announced,"Sun Machine Entertainment, Inc.",-,IQTR638515945,"TSXV:DVX.P
Company: Drummond Ventures Corp.
(IQT576986601) - 12/31/2018",Operating
04/12/2018,Duckworth Capital Corp.,Merger/Acquisition,Closed,GoldSpot Discoveries Corp. (TSXV:SPOT),-,IQTR559062599,"TSXV:DUKE.P
Company: Duckworth Capital Corp.
(IQT535341489) - 8/24/2017",Acquired
08/25/2016,Dundee Acquisition Ltd.,Merger/Acquisition,Cancelled,CHC Student Housing Corp. (TSXV:CHC.H),Fir Tree Partners; Dundee Corporation (TSX:DC.A); Polar Asset Management Partners Inc.; Vertex One Asset Management Inc.; EdgePoint Investment Group Inc.,IQTR382058456,"TSX:DAQ.A
Company: Dundee Acquisition Ltd.
(IQT302491259) - 6/3/2015",Operating
04/27/2020,Duro Metals Inc. (TSXV:DURO.P),Merger/Acquisition,Cancelled,Kingfisher Resources Ltd.,-,IQTR665725625,"TSXV:DURO.P
Company: Duro Metals Inc.
(IQT646970389) - 12/17/2019",Operating
04/08/2020,Dynamo Capital Corp. (TSXV:DDD.P),Merger/Acquisition,Cancelled,"Linear Park Marketing, Inc.",-,IQTR662855020,"TSXV:DDD.P
Company: Dynamo Capital Corp.
(IQT563706070) - 9/17/2018",Operating
09/30/2020,E36 Capital Corp. (TSXV:ETSC.P),Merger/Acquisition,Announced,Kalo Gold Corp.,-,IQTR690364155,"TSXV:ETSC.P
Company: E36 Capital Corp.
(IQT625818860) - 3/4/2020",Operating
09/23/2020,East Stone Acquisition Corporation (NasdaqCM:ESSC),Merger/Acquisition,Announced,Nanjing Ufin Shuke Technology Group Limited,"Glazer Capital, LLC; Hudson Bay Capital Management LP; Double Ventures Holdings Ltd",IQTR689790733,"NasdaqCM:ESSC
Company: East Stone Acquisition Corporation
(IQT658975406) - 3/20/2020",Operating
06/05/2017,Ebest Special Purpose Acquisition 3 Company,Merger/Acquisition,Closed,HAN & Partners Asset Management,-,IQTR433141845,"KOSDAQ:A225440
Company: Ebest Special Purpose Acquisition 3 Company
(IQT314320767) - 10/19/2015",Operating
05/08/2017,Ebest Special Purpose Acquisition 3 Company,Merger/Acquisition,Closed,-,"KTB Asset Management Co., Ltd",IQTR430047065,"KOSDAQ:A225440
Company: Ebest Special Purpose Acquisition 3 Company
(IQT314320767) - 10/19/2015",Operating
01/17/2017,Ebest Special Purpose Acquisition 3 Company,Merger/Acquisition,Closed,"ANDA Asset Management Co., Ltd.",-,IQTR416612340,"KOSDAQ:A225440
Company: Ebest Special Purpose Acquisition 3 Company
(IQT314320767) - 10/19/2015",Operating
10/26/2015,Ebest Special Purpose Acquisition 3 Company,Merger/Acquisition,Closed,"Daishin Asset Management Co., Ltd.",-,IQTR315257932,"KOSDAQ:A225440
Company: Ebest Special Purpose Acquisition 3 Company
(IQT314320767) - 10/19/2015",Operating
08/06/2019,ECC Ventures 1 Corp.,Merger/Acquisition,Closed,A2Z Smart Technologies Corp. (TSXV:AZ),-,IQTR632187528,"TSXV:AZ
Company: ECC Ventures 1 Corp.
(IQT551461498) - 4/25/2018",Acquired
05/30/2018,ECC Ventures 1 Corp.,Merger/Acquisition,Cancelled,Propel Blockchain Intelligence Inc.,-,IQTR569121244,"TSXV:AZ
Company: ECC Ventures 1 Corp.
(IQT551461498) - 4/25/2018",Acquired
11/13/2020,ECC Ventures 2 Corp. (TSXV:ETWO.P),Merger/Acquisition,Announced,Infield Minerals Corp.,-,IQTR695084211,"TSXV:ETWO.P
Company: ECC Ventures 2 Corp.
(IQT551461836) - 4/25/2018",Operating
01/23/2019,ECC Ventures 2 Corp. (TSXV:ETWO.P),Merger/Acquisition,Cancelled,-,-,IQTR599415947,"TSXV:ETWO.P
Company: ECC Ventures 2 Corp.
(IQT551461836) - 4/25/2018",Operating
07/27/2016,E-Compass Acquisition Corp.,Merger/Acquisition,Closed,iFresh Inc. (NasdaqCM:IFMK),BIP GP LLC; Polar Asset Management Partners Inc.; Lodestar Investment Holdings I LLC,IQTR378089504,"NasdaqGM:ECAC
Company: E-Compass Acquisition Corp.
(IQT313968763) - 11/25/2015",Acquired
12/12/2019,EdtechX Holdings Acquisition Corp.,Merger/Acquisition,Closed,Meten EdtechX Education Group Ltd. (NasdaqCM:METX),IBIS Private Equity Partners LLP; Azimut Enterprises Holding S.r.l.,IQTR647875444,"NasdaqGM:EDTX
Company: EdtechX Holdings Acquisition Corp.
(IQT575261145) - 10/17/2018",Acquired
07/23/2019,Efficacious Elk Capital Corp. (TSXV:EECC.P),Merger/Acquisition,Cancelled,Frontier Wellness Management Inc.,-,IQTR630578123,"TSXV:EECC.P
Company: Efficacious Elk Capital Corp.
(IQT581607096) - 12/7/2018",Operating
05/13/2020,Elephant Hill Capital Inc. (TSXV:EH.P),Merger/Acquisition,Announced,Esports Ltd,-,IQTR667876431,"TSXV:EH.P
Company: Elephant Hill Capital Inc.
(IQT554588600) - 6/20/2018",Operating
01/14/2020,Elephant Hill Capital Inc. (TSXV:EH.P),Merger/Acquisition,Cancelled,-,-,IQTR650953879,"TSXV:EH.P
Company: Elephant Hill Capital Inc.
(IQT554588600) - 6/20/2018",Operating
09/10/2018,Elephant Hill Capital Inc. (TSXV:EH.P),Merger/Acquisition,Cancelled,Adcore Inc. (TSXV:ADCO),-,IQTR580619857,"TSXV:EH.P
Company: Elephant Hill Capital Inc.
(IQT554588600) - 6/20/2018",Operating
09/11/2017,"Eugene ACPC Special Purpose Acquisition 2 Co., Ltd.",Merger/Acquisition,Closed,Ehwa Defense Technology (KOSDAQ:A215090),"Eugene Investment & Securities Co.,Ltd. (KOSE:A001200); Alliance Capital Partners Co., Ltd.",IQTR538088934,"KOSDAQ:A215090
Company: Eugene ACPC Special Purpose Acquisition 2 Co., Ltd.
(IQT286146978) - 4/28/2015",Acquired
11/16/2015,"Eugene Special Purpose Acquisition 3 Co., Ltd.",Merger/Acquisition,Closed,"KTB Asset Management Co., Ltd",-,IQTR317405633,"KOSDAQ:A221200
Company: Eugene Special Purpose Acquisition 3 Co., Ltd.
(IQT308980862) - 9/9/2015",Operating
01/18/2013,E-Waste Corp. (OTCPK:EWST),Merger/Acquisition,Closed,-,-,IQTR253401232,"OTCPK:EWST
Company: E-Waste Corp.
(IQT215739935) - 7/6/2020",Operating
12/07/2017,Exalt Capital Corp.,Merger/Acquisition,Closed,Astron Connect Inc. (TSXV:AST),-,IQTR546000360,"TSXV:EXT.P
Company: Exalt Capital Corp.
(IQT531319926) - 10/10/2017",Acquired
12/19/2018,Fandango Holdings Plc (LSE:FHP),Merger/Acquisition,Cancelled,Konnect Mobile Communications Inc.,-,IQTR595581787,"LSE:FHP
Company: Fandango Holdings Plc
(IQT530111188) - 7/12/2017",Operating
05/25/2018,Fandango Holdings Plc (LSE:FHP),Merger/Acquisition,Cancelled,-,-,IQTR567548674,"LSE:FHP
Company: Fandango Holdings Plc
(IQT530111188) - 7/12/2017",Operating
01/16/2020,Far Point Acquisition Corporation,Merger/Acquisition,Closed,Global Blue Group Holding AG (NYSE:GB),Third Point LLC,IQTR651240824,"NYSE:FPAC
Company: Far Point Acquisition Corporation
(IQT567079565) - 6/27/2018",Acquired
10/28/2019,Farstarcap Investment Corp. (TSXV:FRS.P),Merger/Acquisition,Cancelled,A4 Systems Corporation,-,IQTR641980782,"TSXV:FRS.P
Company: Farstarcap Investment Corp.
(IQT549559721) - 2/15/2019",Operating
03/07/2016,FinTech Acquisition Corp.,Merger/Acquisition,Closed,CardConnect Corp.,"Davidson Kempner Capital Management LP; Polar Asset Management Partners Inc.; Hudson Bay Capital Management LP; Fintech Investor Holdings, LLC",IQTR327572409,"NasdaqCM:FNTC
Company: FinTech Acquisition Corp.
(IQT290486594) - 4/27/2015",Acquired
12/19/2017,FinTech Acquisition Corp. II,Merger/Acquisition,Closed,"International Money Express, Inc. (NasdaqCM:IMXI)",-,IQTR547092855,"NasdaqCM:FNTE
Company: FinTech Acquisition Corp. II
(IQT407693820) - 3/27/2017",Acquired
08/03/2020,FinTech Acquisition Corp. III,Merger/Acquisition,Closed,Paya Holdings Inc. (NasdaqCM:PAYA),-,IQTR681878279,"NasdaqCM:PAYA
Company: FinTech Acquisition Corp. III
(IQT581501013) - 1/18/2019",Acquired
07/20/2020,First Light Capital Corp (TSXV:XYZ.P),Merger/Acquisition,Closed,Anacortes Management Ltd.,-,IQTR677738759,"TSXV:XYZ.P
Company: First Light Capital Corp
(IQT592296095) - 5/3/2019",Operating
01/10/2020,First Light Capital Corp (TSXV:XYZ.P),Merger/Acquisition,Cancelled,vMobo Inc.,-,IQTR650614552,"TSXV:XYZ.P
Company: First Light Capital Corp
(IQT592296095) - 5/3/2019",Operating
09/02/2020,Flying Eagle Acquisition Corp. (NYSE:FEAC),Merger/Acquisition,Announced,Skillz Inc.,"Eagle Equity Partners, LLC",IQTR686617646,"NYSE:FEAC
Company: Flying Eagle Acquisition Corp.
(IQT656507596) - 4/27/2020",Operating
07/06/2017,Flying Monkey Capital Corp.,Merger/Acquisition,Closed,Fabled Copper Corp. (TSXV:FCO),-,IQTR529698382,"TSXV:FMK.H
Company: Flying Monkey Capital Corp.
(IQT290737001) - 6/22/2015",Acquired
06/11/2018,Foreshore Exploration Partners Corp.,Merger/Acquisition,Closed,POSaBIT Systems Corporation (CNSX:PBIT),-,IQTR570504480,"TSXV:FORE.P
Company: Foreshore Exploration Partners Corp.
(IQT545413446) - 6/1/2018",Acquired
07/15/2020,Fortress Value Acquisition Corp.,Merger/Acquisition,Closed,MP Materials Corp. (NYSE:MP),Fortress Acquisition Sponsor LLC,IQTR677140763,"NYSE:FVAC
Company: Fortress Value Acquisition Corp.
(IQT672736191) - 6/22/2020",Acquired
12/01/2017,Forum Merger Corporation,Merger/Acquisition,Closed,"ConvergeOne Holdings, Inc.","Glazer Capital, LLC; BIP GP LLC; K2 & Associates Investment Management Inc.; Polar Asset Management Partners Inc.; Bulldog Investors, LLC; CNH Partners, LLC; Hudson Bay Capital Management LP; 683 Capital Management, LLC; Periscope Capital Inc; Westchester Capital Management, LLC; Boothbay Fund Management, LLC; HGC Investment Management Inc.; Forum Investors I, LLC",IQTR545593208,"NasdaqCM:CVON
Company: Forum Merger Corporation
(IQT420069390) - 5/2/2017",Acquired
06/12/2020,Forum Merger II Corporation,Merger/Acquisition,Closed,"Tattooed Chef, Inc. (NasdaqCM:TTCF)",-,IQTR672067394,"NasdaqCM:TTCF
Company: Forum Merger II Corporation
(IQT569882271) - 9/12/2018",Acquired
08/12/2020,Freeform Capital Partners Inc. (TSXV:FRM.P),Merger/Acquisition,Announced,Bayshore Minerals Inc.,-,IQTR683386470,"TSXV:FRM.P
Company: Freeform Capital Partners Inc.
(IQT630600829) - 6/23/2020",Operating
10/15/2020,FS Development Corp. (NasdaqCM:FSDC),Merger/Acquisition,Announced,"Gemini Therapeutics, Inc.",-,IQTR692297814,"NasdaqCM:FSDC
Company: FS Development Corp.
(IQT681828127) - 8/12/2020",Operating
03/13/2019,Gegs Capital Corp.,Merger/Acquisition,Closed,UMG Media Ltd.,-,IQTR606306486,"TSXV:GEGS.P
Company: Gegs Capital Corp.
(IQT579349494) - 12/12/2018",Acquired
04/13/2017,Gibraltar Growth Corporation,Merger/Acquisition,Closed,"LXRandCo, Inc. (TSX:LXR)","Gibraltar Opportunity, Inc.",IQTR427752811,"TSX:GBG.A
Company: Gibraltar Growth Corporation
(IQT316580416) - 11/16/2015",Acquired
02/26/2019,"GigCapital, Inc.",Merger/Acquisition,Closed,"Kaleyra, Inc. (AMEX:KLR)","Karpus Management Inc.; Polar Asset Management Partners Inc.; Weiss Asset Management LP; Westchester Capital Management, LLC; GigAcquisitions, LLC",IQTR604386354,"NYSE:GIG
Company: GigCapital, Inc.
(IQT549866233) - 1/17/2018",Acquired
11/23/2020,"GigCapital2, Inc. (NYSE:GIX)",Merger/Acquisition,Announced,"UpHealth, Inc./Cloudbreak LLC",-,IQTR695853321,"NYSE:GIX
Company: GigCapital2, Inc.
(IQT626059275) - 7/1/2019",Operating
10/27/2020,"GigCapital2, Inc. (NYSE:GIX)",Merger/Acquisition,Cancelled,Bolder Industries,-,IQTR693257234,"NYSE:GIX
Company: GigCapital2, Inc.
(IQT626059275) - 7/1/2019",Operating
10/11/2019,Global Investments Capital Corp. (TSXV:GLIN.P),Merger/Acquisition,Cancelled,Clerisy Corporation,-,IQTR640255415,"TSXV:GLIN.P
Company: Global Investments Capital Corp.
(IQT545098170) - 12/5/2017",Operating
07/27/2017,Global Partner Acquisition Corp.,Merger/Acquisition,Closed,"Purple Innovation, Inc. (NasdaqCM:PRPL)","Fir Tree Partners; Moore Capital Management, LP; Highbridge Capital Management, LLC; Deutsche Asset Management Investment GmbH; Glazer Capital, LLC; Davidson Kempner Capital Management LP; Basso Capital Management, L.P.; BlueMountain Capital Management LLC; Polar Asset Management Partners Inc.; Hudson Bay Capital Management LP; Castle Creek Arbitrage, LLC; Capstone Investment Advisors, LLC; Arrowgrass Capital Partners LLP; Periscope Capital Inc; Rotation Capital Management, LP",IQTR532466568,"NasdaqCM:GPAC
Company: Global Partner Acquisition Corp.
(IQT309308141) - 10/29/2015",Acquired
01/11/2017,Global Partner Acquisition Corp.,Merger/Acquisition,Cancelled,Sequel Youth and Family Services LLC,"Fir Tree Partners; Moore Capital Management, LP; TD Asset Management, Inc.; Deutsche Asset Management Investment GmbH; Glazer Capital, LLC; Davidson Kempner Capital Management LP; Basso Capital Management, L.P.; BlueMountain Capital Management LLC; Polar Asset Management Partners Inc.; Hudson Bay Capital Management LP; Castle Creek Arbitrage, LLC; Capstone Investment Advisors, LLC; Arrowgrass Capital Partners LLP; Periscope Capital Inc; Rotation Capital Management, LP",IQTR415987161,"NasdaqCM:GPAC
Company: Global Partner Acquisition Corp.
(IQT309308141) - 10/29/2015",Acquired
07/28/2017,"Goldenbridge No.2 Special Purpose Acquisition Co., LTD.",Merger/Acquisition,Cancelled,"Entermedia Co.,Ltd.","Daishin Asset Management Co., Ltd.; KTB Private Equity; Synergy IB Investment Co., Ltd.",IQTR532769246,"KOSDAQ:A206660
Company: Goldenbridge No.2 Special Purpose Acquisition Co., LTD.
(IQT283612848) - 2/5/2015",Operating
02/25/2015,"Goldenbridge No.2 Special Purpose Acquisition Co., LTD.",Merger/Acquisition,Closed,"Synergy IB Investment Co., Ltd.",-,IQTR285981307,"KOSDAQ:A206660
Company: Goldenbridge No.2 Special Purpose Acquisition Co., LTD.
(IQT283612848) - 2/5/2015",Operating
02/10/2015,"Goldenbridge No.2 Special Purpose Acquisition Co., LTD.",Merger/Acquisition,Closed,KTB Private Equity,-,IQTR284744922,"KOSDAQ:A206660
Company: Goldenbridge No.2 Special Purpose Acquisition Co., LTD.
(IQT283612848) - 2/5/2015",Operating
06/16/2017,"Goldenbridge No.3 Special Purpose Acquisition Co., Ltd.",Merger/Acquisition,Cancelled,ZUM Internet Corp. (KOSDAQ:A239340),"Daishin Asset Management Co., Ltd.; Synergy IB Investment Co., Ltd.",IQTR434964059,"KOSDAQ:A219580
Company: Goldenbridge No.3 Special Purpose Acquisition Co., Ltd.
(IQT304110023) - 6/30/2015",Operating
11/25/2015,"Goldenbridge No.3 Special Purpose Acquisition Co., Ltd.",Merger/Acquisition,Closed,"Daishin Asset Management Co., Ltd.",-,IQTR317709429,"KOSDAQ:A219580
Company: Goldenbridge No.3 Special Purpose Acquisition Co., Ltd.
(IQT304110023) - 6/30/2015",Operating
07/03/2015,"Goldenbridge No.3 Special Purpose Acquisition Co., Ltd.",Merger/Acquisition,Closed,"Synergy IB Investment Co., Ltd.",-,IQTR305925453,"KOSDAQ:A219580
Company: Goldenbridge No.3 Special Purpose Acquisition Co., Ltd.
(IQT304110023) - 6/30/2015",Operating
06/08/2018,"Goldenbridge No.4 Special Purpose Acquisition Co., Ltd.",Merger/Acquisition,Closed,"N2Tech Co., Ltd (KOSDAQ:A227950)","D&J Group Co.,Ltd.",IQTR570714639,"KOSDAQ:A227950
Company: Goldenbridge No.4 Special Purpose Acquisition Co., Ltd.
(IQT313185365) - 11/18/2015",Acquired
06/10/2016,"Goldenbridge No.4 Special Purpose Acquisition Co., Ltd.",Merger/Acquisition,Cancelled,"Dream T Entertainment Co.,Ltd.","KTB Asset Management Co., Ltd; Golden Campass Investment Advisory Co.,Ltd.; D&J GROUP Co.,Ltd.; D&J Group Co., Ltd.; Dnj Co., Ltd.",IQTR347611335,"KOSDAQ:A227950
Company: Goldenbridge No.4 Special Purpose Acquisition Co., Ltd.
(IQT313185365) - 11/18/2015",Acquired
11/24/2015,"Goldenbridge No.4 Special Purpose Acquisition Co., Ltd.",Merger/Acquisition,Closed,"Golden Campass Investment Advisory Co.,Ltd.",-,IQTR317657234,"KOSDAQ:A227950
Company: Goldenbridge No.4 Special Purpose Acquisition Co., Ltd.
(IQT313185365) - 11/18/2015",Acquired
03/06/2020,Good2Go Corp. (TSXV:GOTO.P),Merger/Acquisition,Announced,Magical Brands Inc.,-,IQTR657572888,"TSXV:GOTO.P
Company: Good2Go Corp.
(IQT565233727) - 7/18/2018",Operating
06/29/2020,Good2Go2 Corp. (TSXV:GOAL.P),Merger/Acquisition,Announced,Canadian Teleradiology Services Inc.,-,IQTR674317844,"TSXV:GOAL.P
Company: Good2Go2 Corp.
(IQT652266073) - 2/13/2020",Operating
08/01/2019,Gordon Pointe Acquisition Corp.,Merger/Acquisition,Closed,Hall of Fame Resort & Entertainment Company (NasdaqCM:HOFV),"Voyager Holdings II, LLC",IQTR631991417,"NasdaqGM:GPAQ
Company: Gordon Pointe Acquisition Corp.
(IQT555537045) - 3/12/2018",Acquired
06/21/2018,"Gores Holdings II, Inc.",Merger/Acquisition,Closed,Verra Mobility Corporation (NasdaqCM:VRRM),-,IQTR571522879,"NasdaqCM:VRRM
Company: Gores Holdings II, Inc.
(IQT415710746) - 3/24/2017",Acquired
11/01/2019,"Gores Holdings III, Inc.",Merger/Acquisition,Closed,PAE Incorporated (NasdaqCM:PAE),-,IQTR642812414,"NasdaqCM:GRSH
Company: Gores Holdings III, Inc.
(IQT577413259) - 10/31/2018",Acquired
09/23/2020,"Gores Holdings IV, Inc. (NasdaqCM:GHIV)",Merger/Acquisition,Announced,"United Wholesale Mortgage, LLC",-,IQTR689569158,"NasdaqCM:GHIV
Company: Gores Holdings IV, Inc.
(IQT658606453) - 3/24/2020",Operating
08/24/2020,"Gores Metropoulos, Inc.",Merger/Acquisition,Closed,"Gores Metropoulos, Inc. (NasdaqGS:LAZR)",Gores Metropoulos Sponsor LLC,IQTR685107301,"NasdaqCM:GMHI
Company: Gores Metropoulos, Inc.
(IQT594840683) - 3/25/2019",Acquired
05/16/2017,GP Investments Acquisition Corp.,Merger/Acquisition,Closed,"Rimini Street, Inc. (NasdaqGM:RMNI)","GP Investments, Ltd. (BOVESPA:GPIV33); TD Asset Management, Inc.; Corelle Brands Holdings Inc.; Glazer Capital, LLC; Basso Capital Management, L.P.; K2 & Associates Investment Management Inc.; Levin Capital Strategies, L.P.; Castle Creek Arbitrage, LLC; Cowen Investment Management LLC; Periscope Capital Inc; Birch Grove Capital LLC; Silver Rock Financial LP",IQTR431082900,"NasdaqCM:GPIA
Company: GP Investments Acquisition Corp.
(IQT306410373) - 8/28/2015",Acquired
04/19/2016,GP Investments Acquisition Corp.,Merger/Acquisition,Cancelled,Corelle Brands Holdings Inc.,"GP Investments, Ltd. (BOVESPA:GPIV33)",IQTR331421723,"NasdaqCM:GPIA
Company: GP Investments Acquisition Corp.
(IQT306410373) - 8/28/2015",Acquired
07/02/2020,Graf Industrial Corp.,Merger/Acquisition,Closed,"Velodyne Lidar, Inc. (NasdaqGS:VLDR)",-,IQTR674806243,"NYSE:GRAF
Company: Graf Industrial Corp.
(IQT582527955) - 10/26/2018",Acquired
03/01/2019,Green Rise Capital Corporation,Merger/Acquisition,Closed,Green Rise Foods Inc. (TSXV:GRF),-,IQTR605833800,"TSXV:GRCC.P
Company: Green Rise Capital Corporation
(IQT542179056) - 11/29/2017",Acquired
07/12/2019,Greenland Acquisition Corporation,Merger/Acquisition,Closed,Greenland Technologies Holding Corporation (NasdaqCM:GTEC),-,IQTR629412467,"NasdaqCM:GTEC
Company: Greenland Acquisition Corporation
(IQT575258167) - 8/8/2018",Acquired
10/27/2020,Greenstone Capital Corp. (TSXV:GSGS.P),Merger/Acquisition,Announced,Comprehensive Healthcare Systems Inc.,-,IQTR694481234,"TSXV:GSGS.P
Company: Greenstone Capital Corp.
(IQT580256814) - 5/9/2019",Operating
08/27/2020,GreenVision Acquisition Corp. (NasdaqCM:GRNV),Merger/Acquisition,Cancelled,Accountable Healthcare America Inc.,-,IQTR685669225,"NasdaqCM:GRNV
Company: GreenVision Acquisition Corp.
(IQT646833017) - 12/9/2019",Operating Subsidiary
12/10/2019,GS Acquisition Holdings Corp,Merger/Acquisition,Closed,Vertiv Holdings Co. (NYSE:VRT),"Empyrean Capital Partners, LP; BlueCrest Capital Management Limited; Governors Lane LP; GS DC Sponsor I LLC",IQTR647686787,"NYSE:VRT
Company: GS Acquisition Holdings Corp
(IQT566574063) - 7/30/2018",Acquired
12/24/2019,Hampton Bay Capital Inc.,Merger/Acquisition,Closed,Lendified Holdings Inc. (TSXV:LHI),-,IQTR649086759,"TSXV:HPB.P
Company: Hampton Bay Capital Inc.
(IQT591356545) - 3/18/2019",Acquired
10/10/2016,Hana Financial Eighth Special Purpose Acquisition Company,Merger/Acquisition,Closed,"Mobiis Co., Ltd. (KOSDAQ:A250060)","HFR, Inc. (KOSDAQ:A230240)",IQTR404548655,"KOSDAQ:A250060
Company: Hana Financial Eighth Special Purpose Acquisition Company
(IQT378257907) - 9/8/2016",Acquired
11/29/2019,Hana Financial Eleventh Special Purpose Acquisition Company,Merger/Acquisition,Closed,"Kainos Medicine, Inc. (KOSDAQ:A284620)",-,IQTR646792193,"KOSDAQ:A284620
Company: Hana Financial Eleventh Special Purpose Acquisition Company
(IQT568447219) - 6/8/2018",Acquired
12/20/2019,Hana Financial Fourteen Special Purpose Acquisition Company (KOSDAQ:A332710),Merger/Acquisition,Cancelled,"Shin Steel Co.,Ltd.","SSI Investment Co., Ltd.",IQTR650448797,"KOSDAQ:A332710
Company: Hana Financial Fourteen Special Purpose Acquisition Company
(IQT637734846) - 11/1/2019",Operating
10/11/2019,Hana Financial ninth Special Purpose Acquisition Company,Merger/Acquisition,Closed,"Dentis Co.,Ltd (KOSDAQ:A261200)",-,IQTR651214845,"KOSDAQ:A261200
Company: Hana Financial ninth Special Purpose Acquisition Company
(IQT434217020) - 6/26/2017",Acquired
06/29/2017,Hana Financial ninth Special Purpose Acquisition Company,Merger/Acquisition,Closed,"E&Investment, Inc.",-,IQTR528751542,"KOSDAQ:A261200
Company: Hana Financial ninth Special Purpose Acquisition Company
(IQT434217020) - 6/26/2017",Acquired
06/28/2017,Hana Financial ninth Special Purpose Acquisition Company,Merger/Acquisition,Closed,"Kiwoom Asset Management Co., Ltd.",-,IQTR528639237,"KOSDAQ:A261200
Company: Hana Financial ninth Special Purpose Acquisition Company
(IQT434217020) - 6/26/2017",Acquired
05/29/2018,Hana Financial Seventh Special Purpose Acquisition Company,Merger/Acquisition,Closed,"HFR, Inc. (KOSDAQ:A230240)","KB Securities Co., Ltd.",IQTR569819605,"KOSDAQ:A230240
Company: Hana Financial Seventh Special Purpose Acquisition Company
(IQT316308696) - 12/16/2015",Acquired
