All Transactions Announced Date,Target/Issuer,Exchange:Ticker,Transaction Types,Transaction Status,"Total Transaction Value ($USDmm, Historical rate)",Buyers/Investors,Sellers,CIQ Transaction ID,Industry Classifications [Target/Issuer],Company Status [Target/Issuer],M&A Closed Date
06/29/2020,Netfin Acquisition Corp.,-,Merger/Acquisition,Closed,-,"Triterras, Inc. (NasdaqGM:TRIT)",MVR Netfin LLC; Symphonia Strategic Opportunities Limited,IQTR674260132,Blank Checks (Primary),Acquired,11/10/2020
06/29/2020,Insurance Acquisition Corp.,-,Merger/Acquisition,Closed,-,"Shift Technologies, Inc. (NasdaqCM:SFT)","UBS O'Connor LLC; Davidson Kempner Capital Management LP; Magnetar Capital, LLC; Polar Asset Management Partners Inc.; Linden Advisors LP; MM Asset Management Inc; Periscope Capital Inc; HGC Investment Management Inc.; Insurance Acquisition Sponsor, LLC; Dioptra Advisors, LLC",IQTR674294771,Blank Checks (Primary),Acquired,10/13/2020
06/24/2020,B. Riley Principal Merger Corp. II,-,Merger/Acquisition,Closed,-,"Eos Energy Enterprises, Inc. (NasdaqCM:EOSE)","B. Riley Principal Investments, LLC",IQTR673453957,Blank Checks (Primary),Acquired,11/16/2020
06/19/2020,Tortoise Acquisition Corp.,-,Merger/Acquisition,Closed,-,Hyliion Holdings Corp. (NYSE:HYLN),-,IQTR672895865,Blank Checks (Primary),Acquired,10/01/2020
06/18/2020,TheSpac S.p.A.,-,Merger/Acquisition,Closed,-,Franchi Umberto Marmi S.p.A. (BIT:FUM),-,IQTR672841053,Blank Checks (Primary),Acquired,10/08/2020
06/12/2020,Forum Merger II Corporation,-,Merger/Acquisition,Closed,-,"Tattooed Chef, Inc. (NasdaqCM:TTCF)",-,IQTR672067394,Blank Checks (Primary),Acquired,10/15/2020
06/09/2020,IBKS No.10 Special Purpose Acquisition Company,-,Merger/Acquisition,Closed,-,"WSI Co., Ltd. (KOSDAQ:A299170)",-,IQTR671801614,Blank Checks (Primary),Acquired,11/17/2020
06/08/2020,China Foods Holdings Ltd.,-,Merger/Acquisition,Closed,-,China Foods Holdings Ltd. (OTCPK:CFOO),"HY (HK) Financial Investments Co., Ltd",IQTR671632580,Blank Checks (Primary),Acquired,07/09/2020
06/01/2020,Cassowary Capital Corporation Limited,-,Merger/Acquisition,Closed,-,Western Gold Exploration Limited (TSXV:WGLD),Smaller Company Capital Ltd.; Mdcgn Ltd,IQTR670873760,Blank Checks (Primary),Acquired,10/22/2020
05/26/2020,Tilting Capital Corp.,-,Merger/Acquisition,Closed,-,Gold Line Resources Ltd. (TSXV:GLDL),-,IQTR669325597,Blank Checks (Primary),Acquired,10/29/2020
05/12/2020,DC Acquisition Corp.,-,Merger/Acquisition,Closed,-,Kiaro Holdings Corp. (TSXV:KO),-,IQTR667855391,Blank Checks (Primary),Acquired,10/13/2020
05/11/2020,IBKS No.11 Special Purpose Acquisition Company,-,Merger/Acquisition,Closed,-,"VIOL Co., Ltd. (KOSDAQ:A335890)","IBK Securities Co., Ltd.; SUSUNG ASSET MANAGEMENT Co., Ltd.; M&M Investment Co., Ltd.; BNB Asset Co., Ltd.",IQTR677452473,Blank Checks (Primary),Acquired,11/11/2020
05/04/2020,Pure Acquisition Corp.,-,Merger/Acquisition,Closed,-,"HighPeak Energy, Inc. (NasdaqGM:HPK)",-,IQTR666551098,Blank Checks (Primary),Acquired,08/21/2020
04/27/2020,PLB Capital Corp. (TSXV:PLB.P),TSXV:PLB.P,Merger/Acquisition,Closed,-,Kainantu Resources Limited,-,IQTR665736717,Blank Checks (Primary),Acquired,12/03/2020
04/21/2020,"Nh Special Purpose Acquisition 15 Co., Ltd.",-,Merger/Acquisition,Closed,-,"Ibkimyoung Co.,Ltd. (KOSDAQ:A339950)",-,IQTR664972118,Blank Checks (Primary),Acquired,09/18/2020
04/17/2020,Omni Commerce Corp.,-,Merger/Acquisition,Closed,-,Omni Commerce Corp.,Alumina Partners LLC,IQTR664791786,Blank Checks (Primary),Acquired,05/11/2020
03/27/2020,Big Dougie Capital Corp.,-,Merger/Acquisition,Closed,-,Stuve Gold Corp. (TSXV:STUV),-,IQTR661027014,Blank Checks (Primary),Acquired,10/02/2020
03/20/2020,Klinik Health Ventures Corp.,-,Merger/Acquisition,Closed,-,NeuPath Health Inc. (TSXV:NPTH),-,IQTR660030739,Blank Checks (Primary),Acquired,06/25/2020
03/17/2020,ARYA Sciences Acquisition Corp.,-,Merger/Acquisition,Closed,-,Immatics N.V. (NasdaqCM:IMTX),-,IQTR659132906,Blank Checks (Primary),Acquired,07/01/2020
03/11/2020,Proficient Alpha Acquisition Corp.,-,Merger/Acquisition,Closed,-,Lion Group Holding Ltd. (NasdaqCM:LGHL),-,IQTR658164198,Blank Checks (Primary),Acquired,06/16/2020
03/11/2020,Trusted Brand 2016 Inc.,-,Merger/Acquisition,Closed,-,Yorkton Equity Group Inc. (TSXV:YEG),-,IQTR658278659,Blank Checks (Primary),Acquired,11/18/2020
03/03/2020,VectoIQ Acquisition Corp.,-,Merger/Acquisition,Closed,-,Nikola Corporation (NasdaqGS:NKLA),-,IQTR657049962,Blank Checks (Primary),Acquired,06/03/2020
02/25/2020,Rider Investment Capital Corp.,-,Merger/Acquisition,Closed,-,Baselode Energy Corp. (TSXV:FIND),-,IQTR656176505,Blank Checks (Primary),Acquired,06/03/2020
02/06/2020,Leo Holdings Corp.,-,Merger/Acquisition,Closed,-,"Digital Media Solutions, Inc. (NYSE:DMS)",-,IQTR653869946,Blank Checks (Primary),Acquired,07/15/2020
02/03/2020,"NH Special Purpose Acquisition 12 Co., Ltd.",-,Merger/Acquisition,Closed,-,Wise birds Inc. (KOSDAQ:A273060),-,IQTR653428137,Blank Checks,Acquired,07/21/2020
01/24/2020,Woden Venture Capital Corporation,-,Merger/Acquisition,Closed,-,Geekco Technologies Corporation (TSXV:GKO),-,IQTR652319590,Blank Checks (Primary),Acquired,10/02/2020
01/22/2020,Hana Financial Thirteen Special Purpose Acquisition Company,-,Merger/Acquisition,Closed,-,"WINTEC Co.,Ltd. (KOSDAQ:A320000)","Heritagept Partners Co., Ltd.",IQTR652193190,Blank Checks (Primary),Acquired,07/22/2020
01/21/2020,AIM3 Ventures Inc.,-,Merger/Acquisition,Closed,-,Vox Royalty Corp. (TSXV:VOX),-,IQTR651863456,Blank Checks (Primary),Acquired,05/19/2020
01/16/2020,Far Point Acquisition Corporation,-,Merger/Acquisition,Closed,-,Global Blue Group Holding AG (NYSE:GB),Third Point LLC,IQTR651240824,Blank Checks (Primary),Acquired,08/28/2020
01/14/2020,Mudrick Capital Acquisition Corporation,-,Merger/Acquisition,Closed,-,Hycroft Mining Holding Corporation (NasdaqCM:HYMC),-,IQTR650954159,Blank Checks (Primary),Acquired,05/29/2020
01/06/2020,Libby K Industries Inc.,-,Merger/Acquisition,Closed,-,Plurilock Security Inc. (TSXV:PLUR),-,IQTR650059957,Blank Checks (Primary),Acquired,09/17/2020
01/06/2020,Nebula Acquisition Corporation,-,Merger/Acquisition,Closed,-,Open Lending Corporation (NasdaqGM:LPRO),-,IQTR650080721,Blank Checks (Primary),Acquired,06/10/2020
12/24/2019,Hampton Bay Capital Inc.,-,Merger/Acquisition,Closed,-,Lendified Holdings Inc. (TSXV:LHI),-,IQTR649086759,Blank Checks (Primary),Acquired,04/29/2020
12/23/2019,Diamond Eagle Acquisition Corp.,-,Merger/Acquisition,Closed,-,DraftKings Inc. (NasdaqGS:DKNG),-,IQTR648975350,Blank Checks (Primary),Acquired,04/15/2020
12/23/2019,Woodbridge Ventures Inc.,-,Merger/Acquisition,Closed,-,Jack Nathan Medical Corp. (TSXV:JNH),-,IQTR649037129,Blank Checks (Primary),Acquired,09/30/2020
12/12/2019,B. Riley Principal Merger Corp.,-,Merger/Acquisition,Closed,-,Alta Equipment Group Inc. (NYSE:ALTG),"B. Riley Principal Investments, LLC",IQTR647850350,Blank Checks (Primary),Acquired,02/14/2020
12/12/2019,EdtechX Holdings Acquisition Corp.,-,Merger/Acquisition,Closed,-,Meten EdtechX Education Group Ltd. (NasdaqCM:METX),IBIS Private Equity Partners LLP; Azimut Enterprises Holding S.r.l.,IQTR647875444,Blank Checks (Primary),Acquired,03/30/2020
12/10/2019,GS Acquisition Holdings Corp,-,Merger/Acquisition,Closed,-,Vertiv Holdings Co. (NYSE:VRT),"Empyrean Capital Partners, LP; BlueCrest Capital Management Limited; Governors Lane LP; GS DC Sponsor I LLC",IQTR647686787,Blank Checks (Primary),Acquired,02/07/2020
11/29/2019,Hana Financial Eleventh Special Purpose Acquisition Company,-,Merger/Acquisition,Closed,-,"Kainos Medicine, Inc. (KOSDAQ:A284620)",-,IQTR646792193,Blank Checks (Primary),Acquired,06/08/2020
11/27/2019,Rebel Capital Inc.,-,Merger/Acquisition,Closed,-,Electric Royalties Ltd. (TSXV:ELEC),-,IQTR645836471,Blank Checks (Primary),Acquired,06/24/2020
11/13/2019,ChaSerg Technology Acquisition Corp.,-,Merger/Acquisition,Closed,-,"Grid Dynamics Holdings, Inc. (NasdaqCM:GDYN)",-,IQTR644099373,Blank Checks (Primary),Acquired,03/05/2020
11/12/2019,Mithrandir Capital Corp.,-,Merger/Acquisition,Closed,-,PopReach Corporation (TSXV:POPR),-,IQTR643971590,Blank Checks (Primary),Acquired,06/30/2020
11/01/2019,"Gores Holdings III, Inc.",-,Merger/Acquisition,Closed,-,PAE Incorporated (NasdaqCM:PAE),-,IQTR642812414,Blank Checks (Primary),Acquired,02/10/2020
11/01/2019,Wealthbridge Acquisition Limited,-,Merger/Acquisition,Closed,-,Scienjoy Holding Corporation (NasdaqCM:SJ),Oriental Holdings Limited,IQTR642929622,Blank Checks (Primary),Acquired,05/07/2020
10/11/2019,Hana Financial ninth Special Purpose Acquisition Company,-,Merger/Acquisition,Closed,-,"Dentis Co.,Ltd (KOSDAQ:A261200)",-,IQTR651214845,Blank Checks (Primary),Acquired,06/12/2020
10/10/2019,Tiberius Acquisition Corporation,-,Merger/Acquisition,Closed,-,International General Insurance Holdings Ltd. (NasdaqCM:IGIC),-,IQTR640188269,Blank Checks (Primary),Acquired,03/17/2020
10/02/2019,Health Sciences Acquisitions Corporation,-,Merger/Acquisition,Closed,-,"Immunovant, Inc. (NasdaqGS:IMVT)",-,IQTR639190655,Blank Checks (Primary),Acquired,12/18/2019
09/16/2019,Mosaic Acquisition Corp.,-,Merger/Acquisition,Closed,-,"Vivint Smart Home, Inc. (NYSE:VVNT)","Fortress Investment Group LLC; Fortress Mosaic Sponsor LLC; Mosaic Sponsor, LLC",IQTR637165092,Blank Checks (Primary),Acquired,01/17/2020
09/06/2019,TKK Symphony Acquisition Corporation,-,Merger/Acquisition,Closed,-,Glory Star New Media Group Holdings Limited (NasdaqCM:GSMG),-,IQTR636228990,Blank Checks (Primary),Acquired,02/14/2020
09/06/2019,Hollister Biosciences Inc.,-,Merger/Acquisition,Closed,-,Hollister Biosciences Inc. (CNSX:HOLL),-,IQTR641314355,Blank Checks (Primary),Acquired,11/08/2019
09/06/2019,"DB Finance No.6 Special Acquisition Co., Ltd.",-,Merger/Acquisition,Closed,-,"Neontech Co., Ltd. (KOSDAQ:A306620)",-,IQTR646946401,Blank Checks (Primary),Acquired,01/29/2020
09/04/2019,Platform Eight Capital Corp.,-,Merger/Acquisition,Closed,-,Blue Thunder Mining Inc. (TSXV:BLUE),-,IQTR635697812,Blank Checks (Primary),Acquired,02/12/2020
08/20/2019,KB No.11 Special Purpose Acquisition Company,-,Merger/Acquisition,Closed,-,"SoftCamp Co., Ltd. (KOSDAQ:A258790)",-,IQTR634047917,Blank Checks (Primary),Acquired,12/18/2019
08/13/2019,ADL Ventures Inc.,-,Merger/Acquisition,Closed,-,The Real Brokerage Inc. (TSXV:REAX),-,IQTR633151348,Blank Checks (Primary),Acquired,06/05/2020
08/12/2019,VON Capital Corp.,-,Merger/Acquisition,Closed,-,Xplore Resources Corp. (TSXV:XPLR),-,IQTR633006997,Blank Checks (Primary),Acquired,10/06/2020
08/09/2019,Caprice Business Development Canada Inc.,-,Merger/Acquisition,Closed,-,Leaf Mobile Inc. (TSXV:LEAF),-,IQTR632891648,Blank Checks (Primary),Acquired,04/17/2020
08/06/2019,ECC Ventures 1 Corp.,-,Merger/Acquisition,Closed,-,A2Z Smart Technologies Corp. (TSXV:AZ),-,IQTR632187528,Blank Checks (Primary),Acquired,12/18/2019
08/05/2019,DD3 Acquisition Corp.,-,Merger/Acquisition,Closed,-,"Betterware de Mexico, S.A.B. de C.V. (NasdaqCM:BWMX)",DD3 Mex Acquisition Corp,IQTR632024135,Blank Checks (Primary),Acquired,03/13/2020
08/02/2019,Brockton Ventures Inc.,-,Merger/Acquisition,Closed,-,TGS Esports Inc. (TSXV:TGS),-,IQTR631929723,Blank Checks (Primary),Acquired,07/30/2020
08/01/2019,Gordon Pointe Acquisition Corp.,-,Merger/Acquisition,Closed,-,Hall of Fame Resort & Entertainment Company (NasdaqCM:HOFV),"Voyager Holdings II, LLC",IQTR631991417,Blank Checks (Primary),Acquired,07/01/2020
07/29/2019,Upjohn Inc.,-,Merger/Acquisition,Closed,-,Viatris Inc. (NasdaqGS:VTRS),Pfizer Inc. (NYSE:PFE),IQTR631236388,Blank Checks (Primary),Acquired,11/16/2020
07/29/2019,MG Capital Corporation,-,Merger/Acquisition,Closed,-,MG Capital Corporation (TSXV:DLP),-,IQTR631299303,Blank Checks (Primary),Acquired,11/14/2019
07/26/2019,Kepler Acquisition Corp.,-,Merger/Acquisition,Closed,-,ESE Entertainment Inc. (TSXV:ESE),-,IQTR631188973,Blank Checks (Primary),Acquired,08/12/2020
07/26/2019,Shinyoung HappyTomorrow No.4 Special Purpose Acquisition Company,-,Merger/Acquisition,Closed,-,"IL Science Co., Ltd. (KOSDAQ:A307180)","KB Securities Co., Ltd., Investment Arm",IQTR634779424,Blank Checks (Primary),Acquired,12/16/2019
07/16/2019,Chardan Healthcare Acquisition Corp.,-,Merger/Acquisition,Closed,-,BiomX Inc. (AMEX:PHGE),-,IQTR629714842,Blank Checks (Primary),Acquired,10/28/2019
07/12/2019,Greenland Acquisition Corporation,-,Merger/Acquisition,Closed,-,Greenland Technologies Holding Corporation (NasdaqCM:GTEC),-,IQTR629412467,Blank Checks (Primary),Acquired,10/24/2019
07/10/2019,8i Enterprises Acquisition Corp.,-,Merger/Acquisition,Closed,-,Diginex Limited (NasdaqCM:EQOS),-,IQTR628920875,Blank Checks (Primary),Acquired,09/30/2020
07/09/2019,Social Capital Hedosophia Holdings Corp.,-,Merger/Acquisition,Closed,-,"Virgin Galactic Holdings, Inc. (NYSE:SPCE)",-,IQTR628744492,Blank Checks (Primary),Acquired,10/25/2019
07/08/2019,DFB Healthcare Acquisitions Corp.,-,Merger/Acquisition,Closed,-,AdaptHealth Corp. (NasdaqCM:AHCO),-,IQTR628642283,Blank Checks (Primary),Acquired,11/08/2019
07/04/2019,IBKS No.6 Special Acquisition Company,-,Merger/Acquisition,Closed,-,"Elensys Co.,Ltd. (KOSDAQ:A264850)",-,IQTR635369706,Blank Checks (Primary),Acquired,11/01/2019
06/21/2019,Rider Investment Capital Corp.,-,Merger/Acquisition,Closed,-,"US Cryotherapy Holdings, LLC",-,IQTR626572197,Blank Checks (Primary),Acquired,12/16/2019
06/13/2019,"Mirae Asset Daewoo Special Purpose Acquisition 2 Co., Ltd.",-,Merger/Acquisition,Closed,-,Aniplus Inc. (KOSDAQ:A310200),-,IQTR625755534,Blank Checks (Primary),Acquired,01/21/2020
06/05/2019,"AS Capital, Inc.",-,Merger/Acquisition,Closed,-,-,"XRC, LLC",IQTR631595498,Blank Checks,Acquired,07/18/2019
06/03/2019,"NH Special Purpose Acquisition 11 Co., Ltd.",-,Merger/Acquisition,Closed,-,"BNC Korea Co., Ltd. (KOSDAQ:A256840)",-,IQTR626263271,Blank Checks (Primary),Acquired,11/15/2019
05/20/2019,Pivotal Acquisition Corp.,-,Merger/Acquisition,Closed,-,KLDiscovery Inc. (OTCPK:KLDI),-,IQTR614322502,Blank Checks (Primary),Acquired,12/19/2019
05/07/2019,ChaiNode Opportunities Corp.,-,Merger/Acquisition,Closed,-,Doré Copper Mining Corp. (TSXV:DCMC),-,IQTR612702797,Blank Checks (Primary),Acquired,12/13/2019
05/07/2019,IBKS No. 5 Special Purpose Acquisition Company,-,Merger/Acquisition,Closed,-,"Xavis Co., Ltd. (KOSDAQ:A254120)","Ricoh Company, Ltd. (TSE:7752)",IQTR633622219,Blank Checks (Primary),Acquired,11/01/2019
04/24/2019,Owl Capital Corp.,-,Merger/Acquisition,Closed,-,Southern Empire Resources Corp. (TSXV:SMP),-,IQTR611535705,Blank Checks (Primary),Acquired,03/18/2020
04/23/2019,Danacore Industries Inc.,-,Merger/Acquisition,Closed,-,Hire Technologies Inc. (TSXV:HIRE),-,IQTR611396146,Blank Checks (Primary),Acquired,12/17/2019
04/16/2019,KBL Merger Corp. IV,-,Merger/Acquisition,Closed,-,180 Life Sciences Corp. (NasdaqCM:ATNF),"Karpus Management Inc.; Basso Capital Management, L.P.; Weiss Asset Management LP; Boothbay Fund Management, LLC; Mizuho Financial Group, Inc., Asset Management Arm",IQTR613445562,Blank Checks (Primary),Acquired,11/06/2020
04/16/2019,Industrial Stars of Italy 3 S.p.A.,-,Merger/Acquisition,Closed,-,Salcef Group S.p.A. (BIT:SCF),-,IQTR655537615,Blank Checks (Primary),Acquired,10/31/2019
04/15/2019,Twelve Seas Investment Company,-,Merger/Acquisition,Closed,-,Brooge Energy Limited (NasdaqCM:BROG),-,IQTR610510880,Blank Checks (Primary),Acquired,12/20/2019
04/08/2019,Capitol Investment Corp. IV,-,Merger/Acquisition,Closed,-,"Nesco Holdings, Inc. (NYSE:NSCO)",-,IQTR609585938,Blank Checks (Primary),Acquired,07/31/2019
04/04/2019,High Mountain Capital Corporation,-,Merger/Acquisition,Closed,-,Facedrive Inc. (TSXV:FD),-,IQTR608861826,Blank Checks (Primary),Acquired,09/16/2019
04/04/2019,Ring the Bell Capital Corp.,-,Merger/Acquisition,Closed,-,Arizona Metals Corp. (TSXV:AMC),-,IQTR608877992,Blank Checks (Primary),Acquired,08/01/2019
04/03/2019,Kb No.10 Special Purpose Acquisition Company,-,Merger/Acquisition,Closed,-,"YeSUN Tech Co.,Ltd. (KOSDAQ:A250930)",-,IQTR609566482,Blank Checks (Primary),Acquired,09/04/2019
04/01/2019,HAW Capital Corp.,-,Merger/Acquisition,Closed,-,GOLO Mobile Inc. (TSXV:WLTR),-,IQTR608444902,Blank Checks (Primary),Acquired,06/26/2019
03/21/2019,Huale Acoustics Limited,-,Merger/Acquisition,Closed,-,"Huale Group CO., Limited",-,IQTR607173866,Blank Checks (Primary),Acquired,04/28/2020
03/15/2019,Constellation Alpha Capital Corp.,-,Merger/Acquisition,Closed,-,"DermTech, Inc. (NasdaqCM:DMTK)","Centripetal, LLC; Cowen Investments II LLC",IQTR606520316,Blank Checks (Primary),Acquired,08/29/2019
03/14/2019,County Capital One Ltd.,-,Merger/Acquisition,Closed,-,Adcore Inc. (TSXV:ADCO),-,IQTR606464842,Blank Checks (Primary),Acquired,05/27/2019
03/13/2019,Gegs Capital Corp.,-,Merger/Acquisition,Closed,-,UMG Media Ltd.,-,IQTR606306486,Blank Checks (Primary),Acquired,07/11/2019
03/04/2019,Spirit Banner Capital Corp.,-,Merger/Acquisition,Closed,-,Ion Energy Ltd. (TSXV:ION),-,IQTR605178308,Blank Checks (Primary),Acquired,08/26/2020
03/01/2019,Green Rise Capital Corporation,-,Merger/Acquisition,Closed,-,Green Rise Foods Inc. (TSXV:GRF),-,IQTR605833800,Blank Checks (Primary),Acquired,09/30/2019
02/27/2019,Jensyn Acquisition Corp.,-,Merger/Acquisition,Closed,-,"The Peck Company Holdings, Inc. (NasdaqCM:PECK)",-,IQTR604629343,Blank Checks (Primary),Acquired,06/19/2019
02/27/2019,"NH Special Purpose Acquisition 10 Co., Ltd.",-,Merger/Acquisition,Closed,-,"POINT ENGINEERING Co.,Ltd. (KOSDAQ:A256630)",-,IQTR608334149,Blank Checks (Primary),Acquired,07/01/2019
02/26/2019,"GigCapital, Inc.",-,Merger/Acquisition,Closed,-,"Kaleyra, Inc. (AMEX:KLR)","Karpus Management Inc.; Polar Asset Management Partners Inc.; Weiss Asset Management LP; Westchester Capital Management, LLC; GigAcquisitions, LLC",IQTR604386354,Blank Checks (Primary),Acquired,11/25/2019
02/25/2019,J55 Capital Corp.,-,Merger/Acquisition,Closed,-,Enthusiast Gaming Holdings Inc. (TSX:EGLX),-,IQTR604244379,Blank Checks (Primary),Acquired,08/29/2019
02/25/2019,"One World Pharma, Inc.",-,Merger/Acquisition,Closed,-,"One World Pharma, Inc. (OTCPK:OWPC)",-,IQTR604244423,Blank Checks (Primary),Acquired,02/21/2019
02/15/2019,Canvass Ventures Ltd.,-,Merger/Acquisition,Closed,-,Nanalysis Scientific Corp. (TSXV:NSCI),-,IQTR602899980,Blank Checks (Primary),Acquired,06/04/2019
02/11/2019,Physinorth Acquisition Corporation Inc.,-,Merger/Acquisition,Closed,-,Premier Health of America Inc. (TSXV:PHA),-,IQTR601952404,Blank Checks (Primary),Acquired,02/25/2020
01/24/2019,Modern Media Acquisition Corp.,-,Merger/Acquisition,Closed,-,Akazoo S.A.,-,IQTR599544297,Blank Checks (Primary),Acquired,09/11/2019
01/22/2019,"Thunder Bridge Acquisition, Ltd.",-,Merger/Acquisition,Closed,-,Repay Holdings Corporation (NasdaqCM:RPAY),-,IQTR599267659,Blank Checks (Primary),Acquired,07/11/2019
01/14/2019,Churchill Capital Corp,-,Merger/Acquisition,Closed,-,Clarivate Plc (NYSE:CCC),-,IQTR598327721,Blank Checks (Primary),Acquired,05/13/2019
01/10/2019,Darien Business Development Corp.,-,Merger/Acquisition,Closed,-,"Vireo Health International, Inc. (CNSX:VREO)",-,IQTR597926376,Blank Checks (Primary),Acquired,03/18/2019
12/19/2018,Black Ridge Acquisition Corp.,-,Merger/Acquisition,Closed,-,Allied Esports Entertainment Inc. (NasdaqCM:AESE),"Black Ridge Oil & Gas, Inc. (OTCPK:ANFC)",IQTR595648360,Blank Checks (Primary),Acquired,08/09/2019
12/19/2018,Spirit Bear Capital Corp.,-,Merger/Acquisition,Closed,-,Gaia Grow Corp. (CNSX:GAIA),-,IQTR595683898,Blank Checks (Primary),Acquired,07/23/2019
12/19/2018,ALP.I S.p.A.,-,Merger/Acquisition,Closed,-,Antares Vision S.p.A. (BIT:AV),-,IQTR596080523,Blank Checks (Primary),Acquired,04/18/2019
12/06/2018,"One World Pharma, Inc.",-,Merger/Acquisition,Closed, 0.35 ,"One World Pharma, Inc. (OTCPK:OWPC)",-,IQTR594043931,Blank Checks (Primary),Acquired,11/30/2018
11/30/2018,Gulfstream Acquisition 1 Corp.,-,Merger/Acquisition,Closed,-,"Liberty Defense Holdings, Ltd. (TSXV:SCAN)",-,IQTR593528913,Blank Checks (Primary),Acquired,04/03/2019
11/27/2018,Alignvest Acquisition II Corporation,-,Merger/Acquisition,Closed,-,Sagicor Financial Company Ltd. (TSX:SFC),Alignvest Management Corporation,IQTR592902650,Blank Checks (Primary),Acquired,12/05/2019
